ID,Elevation,Slope,Ruggedness_Index,Forest_Age_Structure,Dis_Power_Lines,Dis_Log_Power_Lines,Dis_All_Roads,Dis_Log_All_Roads,Dis_All_Big_Roads,Dis_All_Log_Big_Roads,Dis_To_Mine,Dis_To_Log_Mine,Dis_Small_Roads,Dis_Log_Small_Roads,Broad_Leaved_Forest,Coniferous_Forest,Clear_Cut_Forest,Young_Forest,Mire,Lake,Flat_Areas,NE_Slop,SE_Slop,SW_Slop,NW_Slop,Pellet_Found_2009,Pellet_Found_2010
152,460,10.36636,0.000633028,54,2961,7.993619995,756,6.629363253,1443,7.275172319,1811,7.502186487,756,6.629363253,0,1,0,0,0,0,0,1,0,0,0,1,0
153,458,10.88808,0.000176536,49,2926,7.981733287,743,6.612041035,1422,7.260522598,1890,7.544861069,743,6.612041035,0,0,0,1,0,0,0,1,0,0,0,1,0
154,454,11.15205,0.000144959,60,2893,7.970394907,715,6.573680167,1408,7.250635512,1970,7.586296307,715,6.573680167,1,0,0,0,0,0,0,1,0,0,0,0,0
155,450,11.66861,0.000274234,60,2862,7.959625305,701,6.553933404,1400,7.244941546,2052,7.627057417,701,6.553933404,1,0,0,0,0,0,0,1,0,0,0,0,0
156,449,10.41926,0.000154707,60,2830,7.948385285,696,6.546785411,1400,7.244941546,2136,7.667158255,696,6.546785411,1,0,0,0,0,0,0,0,0,0,1,0,0
157,453,10.62058,0.001385689,60,2798,7.93701749,604,6.405228458,1400,7.244941546,2220,7.705712824,604,6.405228458,1,0,0,0,0,0,0,1,0,0,0,0,0
158,445,16.48065,0.001061969,70,2768,7.926241523,514,6.244166901,1403,7.247080585,2307,7.744136628,514,6.244166901,0,1,0,0,0,0,0,1,0,0,0,0,0
159,426,15.72382,0.001170582,70,2731,7.912789221,427,6.059123196,1414,7.25488481,2394,7.78113851,427,6.059123196,0,1,0,0,0,0,0,1,0,0,0,0,1
160,412,9.602891,0.001672957,70,2692,7.898411093,335,5.81711116,1431,7.266827348,2482,7.817222786,335,5.81711116,0,0,0,0,1,0,0,1,0,0,0,1,0
161,407,4.265347,0.00098949,70,2657,7.885329239,250,5.525452939,1456,7.284134806,2571,7.852439085,250,5.525452939,0,1,0,0,0,0,0,1,0,0,0,1,0
162,408,2.361028,0.00021659,70,2624,7.872836175,158,5.068904202,1471,7.294377299,2661,7.886832999,158,5.068904202,0,1,0,0,0,0,0,1,0,0,0,0,0
163,405,2.437808,8.51E-05,62,2593,7.860956365,70,4.262679877,1491,7.307872781,2751,7.920083199,70,4.262679877,0,1,0,0,0,0,0,1,0,0,0,0,0
164,402,2.361028,0.000457022,46,2546,7.842671475,0,0,1518,7.325807503,2842,7.952615112,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
165,406,4.014341,0.000284089,57,2474,7.813995675,50,3.931825633,1518,7.325807503,2934,7.984462732,50,3.931825633,0,1,0,0,0,0,0,0,0,0,1,0,0
166,408,6.189824,0.000120799,34,2404,7.785305183,141,4.955827058,1486,7.304515946,3026,8.015327309,141,4.955827058,0,0,0,1,0,0,0,0,0,0,1,0,0
167,411,6.504634,0.000103633,34,2333,7.755338813,223,5.411646052,1456,7.284134806,3119,8.045588281,223,5.411646052,0,0,0,1,0,0,0,0,0,0,1,0,0
168,413,8.121123,0.00040563,35,2262,7.724446646,316,5.758901774,1423,7.261225092,3212,8.074960359,316,5.758901774,0,0,0,1,0,0,0,1,0,0,0,1,0
169,409,9.177124,0.000181728,35,2192,7.693025748,412,6.023447593,1394,7.240649694,3306,8.103796713,412,6.023447593,0,0,0,1,0,0,0,1,0,0,0,0,0
170,402,8.918327,0.000209914,35,2121,7.660114319,316,5.758901774,1372,7.224753406,3400,8.131824785,316,5.758901774,0,0,0,1,0,0,0,1,0,0,0,0,0
171,361,4.653281,1.34E-05,57,4420,8.394121194,0,0,2594,7.861341796,1612,7.385851078,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
172,366,4.866821,2.06E-05,57,4352,8.378620542,50,3.931825633,2549,7.843848638,1565,7.356279877,50,3.931825633,0,1,0,0,0,0,0,0,0,1,0,1,0
173,372,4.488605,1.78E-05,91,4285,8.363109176,70,4.262679877,2507,7.827240902,1523,7.329093736,70,4.262679877,0,1,0,0,0,0,0,0,0,1,0,1,0
174,377,5.267519,5.11E-05,91,4219,8.347590407,111,4.718498871,2469,7.81197343,1486,7.304515946,111,4.718498871,0,1,0,0,0,0,0,0,0,1,0,0,1
175,383,5.438008,7.19E-05,91,4154,8.332067707,158,5.068904202,2435,7.798112629,1456,7.284134806,158,5.068904202,0,1,0,0,0,0,0,0,0,1,0,0,1
176,388,4.653281,8.21E-05,91,4091,8.316789127,212,5.361292166,2404,7.785305183,1431,7.266827348,212,5.361292166,0,1,0,0,0,0,0,0,0,1,0,1,0
177,394,4.465878,0.000152588,91,4030,8.301769763,269,5.598421959,2376,7.773594467,1414,7.25488481,269,5.598421959,0,1,0,0,0,0,0,0,0,1,0,0,1
178,397,3.161052,0.000163502,91,3969,8.286521374,269,5.598421959,2343,7.759614151,1403,7.247080585,269,5.598421959,0,1,0,0,0,0,0,0,1,0,0,1,0
179,399,3.492588,0.000119315,91,3905,8.270269111,250,5.525452939,2280,7.732369222,1400,7.244941546,250,5.525452939,0,1,0,0,0,0,0,0,0,1,0,0,0
180,402,2.437808,4.11E-05,91,3841,8.253748343,206,5.332718793,2220,7.705712824,1403,7.247080585,206,5.332718793,0,1,0,0,0,0,0,0,0,1,0,0,0
181,407,3.718994,9.64E-05,101,3780,8.237743804,200,5.303304908,2163,7.67971364,1414,7.25488481,200,5.303304908,0,1,0,0,0,0,0,0,0,1,0,1,0
182,411,1.866953,8.77E-05,101,3720,8.221747728,200,5.303304908,2109,7.654443226,1431,7.266827348,200,5.303304908,0,1,0,0,0,0,0,0,0,1,0,0,0
183,415,1.296867,0.000133091,101,3661,8.205764725,158,5.068904202,2059,7.630461262,1456,7.284134806,158,5.068904202,0,1,0,0,0,0,0,0,0,0,1,1,0
184,416,1.280959,3.50E-05,101,3605,8.190354404,150,5.017279837,2012,7.607381426,1486,7.304515946,150,5.017279837,0,1,0,0,0,0,0,0,0,0,1,1,0
186,423,2.152348,5.80E-05,57,3498,8.160232492,158,5.068904202,1924,7.562681247,1565,7.356279877,158,5.068904202,0,1,0,0,0,0,0,0,0,1,0,0,1
